Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "pepino4.brd" as of: 12/8/2015 7:25:39 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,3.354,0.789,0
C2,Top,1.878,0.346,270
C3,Top,1.937,0.720,0
C4,Bottom,1.256,0.736,270
C5,Top,3.222,1.382,90
C6,Top,3.602,0.882,0
C7,Top,3.594,1.236,0
C8,Top,3.040,0.865,270
C9,Top,3.724,1.236,180
C10,Top,3.566,1.407,180
C11,Top,1.913,0.626,270
C12,Top,3.382,1.453,180
C13,Top,3.382,1.413,180
C14,Top,3.138,1.433,270
C15,Top,3.177,1.433,270
C16,Bottom,1.602,0.946,270
C17,Top,3.472,1.626,180
C18,Top,1.126,1.268,270
C19,Top,1.972,0.949,180
C20,Bottom,1.425,0.898,0
C21,Bottom,1.461,1.012,0
C22,Top,0.634,0.622,180
C23,Top,0.681,1.374,180
C24,Top,0.728,0.622,0
C25,Top,0.681,1.335,180
C26,Top,0.634,0.764,180
C27,Top,3.568,1.000,270
C28,Top,3.016,1.126,270
C29,Bottom,1.642,1.000,270
C30,Top,3.602,0.917,0
C31,Top,3.114,0.673,180
C32,Top,0.728,0.764,0
C33,Top,0.634,0.055,180
C34,Top,2.917,0.209,270
C35,Top,2.941,0.413,270
C36,Top,0.728,0.055,0
C37,Top,1.913,1.236,180
F1,Top,3.453,1.709,0
J2,Top,3.035,0.630,180
J3,Top,2.717,0.000,90
J9,Top,3.328,1.932,270
JP1,Top,0.079,0.236,0
JP2,Top,3.858,1.890,0
JP3,Bottom,0.079,0.236,0
JP4,Bottom,3.858,1.890,0
JP5,Top,0.079,1.890,0
JP6,Top,3.858,0.236,0
JP7,Bottom,0.079,1.890,0
JP8,Bottom,3.858,0.236,0
L1,Top,3.382,1.492,180
L2,Top,3.098,1.433,270
L3,Top,3.114,0.713,180
LD1,Top,2.433,0.087,180
LD2,Top,2.433,0.161,180
LD3,Top,2.433,0.236,180
LD4,Top,2.433,0.311,180
LD5,Top,2.433,0.386,180
LD6,Top,2.433,0.461,180
LD7,Top,2.433,0.535,180
LD8,Top,2.433,0.610,180
LD9,Top,3.185,1.693,180
LD10,Top,2.972,0.122,90
LD11,Top,1.823,0.512,180
R1,Top,3.126,1.366,0
R2,Top,3.594,1.276,180
R3,Top,3.707,0.942,180
R4,Top,3.707,0.981,180
R5,Top,3.568,1.094,270
R6,Top,3.621,1.094,270
R7,Top,1.528,1.402,90
R8,Top,1.248,0.516,90
R9,Top,1.803,0.563,180
R10,Top,1.277,1.303,180
R11,Top,1.606,1.402,90
R12,Top,1.488,1.402,90
R13,Top,1.567,1.402,90
R14,Top,2.319,0.087,180
R15,Top,2.319,0.161,180
R16,Top,3.094,1.705,90
R17,Top,2.319,0.236,180
R18,Top,2.319,0.311,180
R19,Top,2.319,0.386,180
R20,Top,2.319,0.461,180
R21,Top,2.319,0.535,180
R22,Top,2.319,0.610,180
R23,Top,1.213,0.516,90
R24,Top,1.646,1.402,90
R25,Top,1.685,1.402,90
R26,Top,1.724,1.402,90
R27,Top,1.764,1.402,90
R28,Top,1.803,1.402,90
R29,Top,1.843,1.402,90
R30,Top,1.882,1.402,90
R31,Top,1.921,1.402,90
R32,Top,1.961,1.402,90
R33,Top,2.000,1.402,90
R34,Top,2.972,0.240,90
R35,Top,2.941,0.508,270
R36,Top,2.917,0.303,270
R37,Top,2.614,0.630,0
R38,Top,1.283,0.516,270
R39,Top,1.705,0.551,0
R40,Top,1.705,0.508,0
S1,Top,2.537,0.892,0
S2,Top,3.665,0.752,0
U1,Top,1.984,0.874,180
U2,Top,1.661,0.378,270
U3,Top,0.681,1.047,0
U4,Top,1.524,0.933,0
U5,Top,3.689,1.591,180
U6,Top,2.035,0.465,0
U7,Top,3.291,1.075,270
U8,Top,3.721,1.094,270
U9,Top,0.681,0.343,0
X1,Top,3.717,1.335,90
